branch_name,city,owner,Chocolate,Vanilla,Strawberry,Lemon,Halvah
Jerusalem123,Jerusalem,,100,100,100,100,100
Tel-Aviv123,Tel-Aviv,,100,100,100,100,100
Rishon-Letion123,Rishon-Letion,,100,100,100,100,100
Haifa123,Haifa,,100,100,100,100,100
Holon123,Holon,,100,100,100,100,100
Ramat-Gan123,Ramat-Gan,,100,100,100,100,100
Ariel123,Ariel,,100,100,100,100,100
Naharia123,Naharia,,100,100,100,100,100
Jerusalem123,Jerusalem,,99.24853746627974,99.30778049223052,99.19984454161413,99.03846696628575,99.95039985086768
Tel-Aviv123,Tel-Aviv,,99.42335252776917,99.61857987393424,99.01539278162872,99.52803146280029,99.69719913490425
Rishon-Letion123,Rishon-Letion,,99.72003490567734,99.0625418570987,99.81399473864016,99.04273527310322,99.49980007644949
Haifa123,Haifa,,99.27933821168892,99.03395634496465,99.48628110975712,99.91317526414946,99.62988463155973
Holon123,Holon,,99.44459921043338,99.64445510841003,99.85365328755364,99.82628846306137,99.0966448510676
Ramat-Gan123,Ramat-Gan,,99.63647794848715,99.02804995632805,99.80046365950257,99.24995747386836,99.90796374058495
Ariel123,Ariel,,99.50214409303652,99.33413708207289,99.28064780843602,99.69307207913336,99.22473793575345
Naharia123,Naharia,,99.72711580581351,99.77679294760439,99.52067960490903,99.19232182207062,99.20417486108157
Jerusalem123,Jerusalem,,98.49707493255949,98.61556098446104,98.39968908322825,98.0769339325715,99.90079970173537
Tel-Aviv123,Tel-Aviv,,98.84670505553834,99.23715974786847,98.03078556325744,99.05606292560057,99.3943982698085
Rishon-Letion123,Rishon-Letion,,99.44006981135468,98.12508371419739,99.62798947728032,98.08547054620644,98.99960015289898
Haifa123,Haifa,,98.55867642337785,98.0679126899293,98.97256221951423,99.82635052829892,99.25976926311947
Holon123,Holon,,98.88919842086676,99.28891021682006,99.70730657510728,99.65257692612275,98.19328970213519
Ramat-Gan123,Ramat-Gan,,99.27295589697431,98.0560999126561,99.60092731900514,98.49991494773673,99.8159274811699
Ariel123,Ariel,,99.00428818607304,98.66827416414577,98.56129561687203,99.38614415826672,98.4494758715069
Naharia123,Naharia,,99.45423161162702,99.55358589520878,99.04135920981807,98.38464364414125,98.40834972216314
Jerusalem123,Jerusalem,,97.74561239883923,97.92334147669156,97.59953362484238,97.11540089885726,99.85119955260305
Tel-Aviv123,Tel-Aviv,,98.2700575833075,98.85573962180271,97.04617834488616,98.58409438840086,99.09159740471276
Rishon-Letion123,Rishon-Letion,,99.16010471703201,97.18762557129608,99.44198421592048,97.12820581930966,98.49940022934847
Haifa123,Haifa,,97.83801463506677,97.10186903489395,98.45884332927135,99.73952579244838,98.8896538946792
Holon123,Holon,,98.33379763130014,98.93336532523008,99.56095986266092,99.47886538918412,97.28993455320278
